源节点,目标节点,担保时间,担保类型,担保金额
T1581b74b867ec07f8810521b3e3e1fbc,T7ef27f4bbe1b10667264c33e6e123fde,1900-1-1,Focus,0
T159fc4ba95e1473f49a053201860f930,Tc321e2beee06b7c0084085060811b6e0,1900-1-1,Chain,0
T15f0f3d5e7e4a85c43f789fedadfe09f,Td1968d26f8afd324499412f44e348f77,1900-1-1,Focus,0
T161ba95c135127d2ebdfb5b39597784f,T940e5fbbc7bd2a3daa846eaca57f5385,1900-1-1,Focus,0
T16ea752732c5f87eedcaa1e9ef964a09,Tc21dbf0b162e7823c77dd043cc88389b,1900-1-1,Chain,0
T1778f454fae4b216496b33e3c13b8282,Tae92c5a4e436345ba9ea9a4de1be49a8,1900-1-1,Focus,0
T17b057223e51295038b0d6a9ca90007c,T30aa87313263210d5972c0749e09ef1d,1900-1-1,Chain,0
T17f6c150fdd1955f6d9a832f0a661dbb,T056761ad8577c5c8814b265ece41bf80,1900-1-1,Chain,0
T1839eb2cf3c12c0bcdbabf96d2db3a31,Tc2aa7edc2376591286685a42009a157e,1900-1-1,Chain,0
T185b4cec062a97fb49e5f4c8d1b8f4df,Te12323ce7b29d4b3ec35b436152942d7,1900-1-1,Focus,0
T18754adfc7c946833e90061bd6b7084b,T1469522607b4c3ebad4bb5a520f7ac86,1900-1-1,Focus,0
T18bdfec1f3e904cbb24fe6163b6c4275,T71b9a4ddd32ca7cbf0f5df57b23ea7df,1900-1-1,Focus,0
T1918580fa763cc814db850efb2cf3731,T7d5a780bb14dbf816e4d1c6e3825e248,1900-1-1,Chain,0
T1949d4ca6a829581da531ec64dd53940,T3fcac446b93adcc6c18e5b8a3aba1311,1900-1-1,Focus,0
T1949d4ca6a829581da531ec64dd53940,T41b32e5a1e1f56854be5d1d2c4d13f87,1900-1-1,Focus,0
T19ae7dc99ceeb7e0fa0738fd8fc7c8b9,T51d75461dbd921faf3dfe83af37ff75e,1900-1-1,Focus,0
T19d0f756b6a1a7fd37bedca1e336b295,Td3273c0733c38909593bd9f8410141a6,1900-1-1,Focus,0
T1a1fced75fcbe640ffe13ed72695b3f2,Tee16877473e934ae10d5764aeacebd4e,1900-1-1,Chain,0
T1a8a1052c9d925f72350a29edca4ed15,Ta862eb2da9a77c05f71e9bf197c4107f,1900-1-1,Chain,0
T1ae6230fd0dceede7e0d2c3a35248051,T7ef27f4bbe1b10667264c33e6e123fde,1900-1-1,Chain,0
T1ae6230fd0dceede7e0d2c3a35248051,T7ef27f4bbe1b10667264c33e6e123fde,1900-1-1,Focus,0
T1c04b3f5f541e22ff4800832f10321a6,T82dd37e06e63e92220662559db87f49e,1900-1-1,Focus,0
T1c242ae99f898de0cd33ee46f07bf3e7,Tf99106c96a79ab2eeecaceaf140b634e,1900-1-1,Focus,0
T1d04342046d9d40d3a902a7d98d808e1,T0da79e029bfbe37a85174e54b4a0b8a5,1900-1-1,Focus,0
T1e31cd1301ba33bd84db430fe75d929b,T0589ed4d25471cc09f1615df701102eb,1900-1-1,Focus,0
T1e3ccee9ce3f12b4423624ca80eb121a,T617cb7dc45c730211d5d77188a22078b,1900-1-1,Chain,0
T1e6406b74df36bdde337e0c03ed963ed,T531bacc3c78c58aff3c52f7d24f30aac,1900-1-1,Chain,0
T1f0972ec5397a341d0f96d5700cce96a,Tb7ac4e85f62225c34bbf295da47858a3,1900-1-1,Chain,0
T1f799d19e7a43bcc7a12bdb1fa18550a,T8f08df45e8df258b695ba3871219be2e,1900-1-1,Chain,0
T1f7b9d9d100ad948e0be7104f7ef67dd,Tdf45cf8bed5eaf1bb332f87200c9188a,1900-1-1,Chain,0
T1fdf02b6dcfd5f7aed821ff4842fea4a,T5112e85570ab51ddb86d6ad3d050f24f,1900-1-1,Focus,0
T1fdf02b6dcfd5f7aed821ff4842fea4a,Tf8ca58f3ab82d07b08bb7421b3f1f0fd,1900-1-1,Focus,0
T20a30a02ad83e727422acf400fa7ea54,T763c5f42f39fa6f09c4decedcacf9d7a,1900-1-1,Focus,0
T20be7390babdfe88bbaaed3787f58718,T7ef27f4bbe1b10667264c33e6e123fde,1900-1-1,Focus,0
T212be18ea8bee351f3f790375ebb5208,Tdea4215d003251897d466da6f2fe5ff0,1900-1-1,Focus,0
T213a89f31897459e8944f23ece029e42,T3c1885219d6b75fef72cb4a40954bbed,1900-1-1,Chain,0
T213a89f31897459e8944f23ece029e42,T3c1885219d6b75fef72cb4a40954bbed,1900-1-1,Focus,0
T2182a9b9d00000451bb3f52c57567fcb,Tce2b42db5002784df52b2d7509171b8d,1900-1-1,Focus,0
T2204e9f2208c017fddc889dac316ac6e,Td362d90d70a3a25e56b8a7921aab81d4,1900-1-1,Focus,0
T231c151c93acdf878a682932fa12de35,Td8ab3624df8a40a69dd32161613c6daa,1900-1-1,Focus,0
T2339e78c99ab164f173d44e66cb545c3,Td3273c0733c38909593bd9f8410141a6,1900-1-1,Focus,0
T2358f2b8b73a573f037575379a3cc0d3,T9da73d1f060339518ba7ea208ad04e9e,1900-1-1,Chain,0
